Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPPNR2507150035587,30,manager des opérations,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac +4/+5 et plus,Responsable des Opérations Logistiques,"Transport, Logistique & Supply Chain",Aucune,Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures,manager des opérations,Non,non,manager des opérations Responsable des Opérations Logistiques Aucune Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures Emploi manager des opérations Pas de diplôme Bac +4/+5 et plus
PPPNR2507160035591,26,administratrice des entreprises,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac +3,Administrateur de Fonctions Support,Fonction Publique & Administration,Aucune,Non déclaré,Administratrice des entreprises,Non déclaré,non déclaré,Administratrice des entreprises Administrateur de Fonctions Support Aucune Emploi administratrice des entreprises Pas de diplôme Bac +3
PPPNR2507160035635,35,chauffeur de poid lourd,Transit - Transport et Logistique - Génie Logistique,Emploi,Pas de diplôme,Homme,Bac,Chauffeur Poids Lourds,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,chauffeur de poid lourd,Non déclaré,non déclaré,chauffeur de poid lourd Chauffeur Poids Lourds Aucune Emploi chauffeur de poid lourd Pas de diplôme Bac
PPPNR2507160035697,19,etudiant,Éducation - Formation - Enseignement,Stage,Pas de diplôme,Homme,Bac +3,Etudiant,Parcours Étudiant et Formation,Aucune,Marketing,Etudiant,Non,non,Etudiant Etudiant Aucune Marketing Stage etudiant Pas de diplôme Bac +3
PPPNR2507240036543,19,logistique et transport,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Stage,Bac +2,Homme,Post-secondaire – Professionnel,Technicien Logistique et Transport,"Transport, Logistique & Supply Chain",Logistique et Supply Chain Management,Non déclaré,Logistique et transport,Non déclaré,non déclaré,Logistique et transport Technicien Logistique et Transport Logistique et Supply Chain Management Stage logistique et transport Bac +2 Post-secondaire – Professionnel
PPPNR2507250036544,25,technicien en réseau et télécommunication,Réseaux et Télécommunications,Emploi,Bac +3,Homme,Bac +3,Technicien Réseaux & Télécom,"Informatique, Data, Télécommunications & Digital",Réseaux et Télécommunications,Prestation de services,technicien en réseau et télécommunication,Non,non,technicien en réseau et télécommunication Technicien Réseaux & Télécom Réseaux et Télécommunications Prestation de services Emploi technicien en réseau et télécommunication Bac +3 Bac +3
PPPNR2507160035698,20,etudiant,Éducation - Formation - Enseignement,Stage,Pas de diplôme,Homme,Bac +3,Etudiant,Parcours Étudiant et Formation,Aucune,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Aucune Stage etudiant Pas de diplôme Bac +3
PPPNR2507250036549,33,agent qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Bac +3,Homme,Bac +3,Technicien QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)","Qualité, Hygiène, Sécurité, Environnement",Non déclaré,Agent QHSE,Non déclaré,non déclaré,"Agent QHSE Technicien QHSE Qualité, Hygiène, Sécurité, Environnement Emploi agent qhse Bac +3 Bac +3"
PPPNR2507250036556,33,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPPNR2507250036558,24,commerçante,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Femme,Bac,Commerçant,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Commerçante,Non déclaré,non déclaré,Commerçante Commerçant Bac D Emploi commerçante Baccalauréat Général Bac
PPPNR2507250036563,33,assistant de direction,Art - Culture - Littérature - Mode,Emploi,DUTS,Femme,Post-secondaire – Professionnel,Assistant de Direction,"Conseil, Stratégie & Gestion des Ressources Humaines",Administration générale,Non déclaré,Assistant de direction,Non déclaré,non déclaré,Assistant de direction Assistant de Direction Administration générale Emploi assistant de direction DUTS Post-secondaire – Professionnel
PPPNR2507250036564,34,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Homme,Bac,Chauffeur,"Transport, Logistique & Supply Chain",Bac F3,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Bac F3 Emploi chauffeur BAC Technique Bac
PPPNR2507250036565,28,pointeur,Divers,Emploi,Baccalauréat,Homme,Bac,Agent de pointage,"Transport, Logistique & Supply Chain",Bac D,Non déclaré,Pointeur,Non déclaré,non déclaré,Pointeur Agent de pointage Bac D Emploi pointeur Baccalauréat Bac
PPPNR2507250036568,35,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPPNR2507250036569,21,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat,Homme,Bac,Logisticien,"Transport, Logistique & Supply Chain",Bac A,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Bac A Emploi logisticien Baccalauréat Bac
PPPNR2507250036571,39,soudeur,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Soudeur,"Industrie, Production & Maintenance",Soudure Homologué,Non déclaré,Soudeur,Non déclaré,non déclaré,Soudeur Soudeur Soudure Homologué Emploi soudeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036574,24,chauffeur poids lourd,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur Poids Lourds,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur Poids lourd,Non déclaré,non déclaré,Chauffeur Poids lourd Chauffeur Poids Lourds Aucune Emploi chauffeur poids lourd Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036577,25,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Baccalauréat Général,Homme,Bac,Logisticien,"Transport, Logistique & Supply Chain",Bac D,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Bac D Stage logisticien Baccalauréat Général Bac
PPPNR2507250036578,37,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPPNR2507250036583,23,assistant comptable,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Bac +3,Femme,Bac +3,Assistant Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion comptable et financier,Non déclaré,Assistant comptable,Non déclaré,non déclaré,Assistant comptable Assistant Comptable Gestion comptable et financier Emploi assistant comptable Bac +3 Bac +3
PPPNR2507250036585,40,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Chauffeur,"Transport, Logistique & Supply Chain",Bac C,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Bac C Emploi chauffeur Baccalauréat Général Bac
PPPNR2507250036587,38,contrôleur qualité,Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie,Emploi,Bac +3,Homme,Bac +3,Controleur Qualite,"Assurance Qualité, Contrôle, Testing (QHSE)",Forage pétrolier,Non déclaré,Contrôleur qualité,Non déclaré,non déclaré,Contrôleur qualité Controleur Qualite Forage pétrolier Emploi contrôleur qualité Bac +3 Bac +3
PPPNR2507250036588,22,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Bac +2,Homme,Post-secondaire – Professionnel,Logisticien,"Transport, Logistique & Supply Chain",Transport et logistique,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Transport et logistique Stage logisticien Bac +2 Post-secondaire – Professionnel
PPPNR2507250036590,24,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Baccalauréat,Homme,Bac,Logisticien,"Transport, Logistique & Supply Chain",Transport et logistique,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Transport et logistique Stage logisticien Baccalauréat Bac
PPPNR2507250036593,23,informaticienne,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Stage,Bac +3,Femme,Bac +3,Technicien Informatique,"Informatique, Data, Télécommunications & Digital",génie Informatique,Non déclaré,Informaticienne,Non déclaré,non déclaré,Informaticienne Technicien Informatique génie Informatique Stage informaticienne Bac +3 Bac +3
PPPNR2507160035706,36,technicien en réseaux et télécommunications,Réseaux et Télécommunications,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien Réseaux & Télécom,"Informatique, Data, Télécommunications & Digital",Aucune,Non déclaré,Technicien en réseaux et télécommunications,Non déclaré,non déclaré,Technicien en réseaux et télécommunications Technicien Réseaux & Télécom Aucune Emploi technicien en réseaux et télécommunications Pas de diplôme Post-secondaire – Professionnel
PPPNR2507250036595,26,comptabilité et gestion d'entreprise,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat,Femme,Bac,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Comptabilité,Non déclaré,Comptabilité et gestion d'entreprise,Non déclaré,non déclaré,Comptabilité et gestion d'entreprise Comptable Comptabilité Emploi comptabilité et gestion d'entreprise Baccalauréat Bac
PPPNR2507250036597,20,comptable,Finance,Stage,Bac +2,Femme,Post-secondaire – Professionnel,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Comptabilité,Non déclaré,Comptable,Non déclaré,non déclaré,Comptable Comptable Comptabilité Stage comptable Bac +2 Post-secondaire – Professionnel
PPPNR2507250036599,22,hôtellerie,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Agent polyvalent hôtellerie,Hôtellerie-Restauration,Bac A,Non déclaré,Hôtellerie,Non déclaré,non déclaré,Hôtellerie Agent polyvalent hôtellerie Bac A Emploi hôtellerie Baccalauréat Général Bac
PPPNR2507250036600,37,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPPNR2507250036601,24,superviseur maintenance,Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures,Emploi,Brevet de Technicien,Homme,Bac,Superviseur Maintenance,"Industrie, Production & Maintenance",Electromécanique,Non déclaré,Superviseur Maintenance,Non déclaré,non déclaré,Superviseur Maintenance Superviseur Maintenance Electromécanique Emploi superviseur maintenance Brevet de Technicien Bac
PPPNR2507250036602,31,agent de sécurité incendie,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Bac +3,Homme,Bac +3,Agent de Securite Incendie (SSIAP),"Sécurité, Sûreté & Défense",Maintenance industrielle,Non déclaré,Agent de sécurité incendie,Non déclaré,non déclaré,Agent de sécurité incendie Agent de Securite Incendie (SSIAP) Maintenance industrielle Emploi agent de sécurité incendie Bac +3 Bac +3
PPPNR2507250036604,23,ressources humaines,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Baccalauréat Général,Femme,Bac,Assistant en Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Bac D,Non déclaré,Ressources Humaines,Non déclaré,non déclaré,Ressources Humaines Assistant en Ressources Humaines Bac D Stage ressources humaines Baccalauréat Général Bac
PPPNR2507160035712,53,hse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien HSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Non déclaré,HSE,Non déclaré,non déclaré,HSE Technicien HSE Aucune Emploi hse Pas de diplôme Post-secondaire – Professionnel
PPPNR2507250036608,45,logistique transite et commerce international,Transit - Transport et Logistique - Génie Logistique,Emploi,Bac +2,Femme,Post-secondaire – Professionnel,Commerce International,"Commerce, Vente, Marketing & Distribution","Transport, logistique et transit",Non déclaré,Logistique Transite et Commerce International,Non déclaré,non déclaré,"Logistique Transite et Commerce International Commerce International Transport, logistique et transit Emploi logistique transite et commerce international Bac +2 Post-secondaire – Professionnel"
PPPNR2507250036609,39,production petroliere,Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures,Emploi,Bac +3,Homme,Bac +3,Technicien Production Petroliere,Industrie pétrolière et gazière,Réseaux et Télécommunications,Non déclaré,PRODUCTION PETROLIERE,Non déclaré,non déclaré,PRODUCTION PETROLIERE Technicien Production Petroliere Réseaux et Télécommunications Emploi production petroliere Bac +3 Bac +3
PPPNR2507250036611,48,instrumentiste,Divers,Emploi,Baccalauréat,Homme,Bac,Technicien en instrumentation industrielle,"Industrie, Production & Maintenance",Bac D,Non déclaré,Instrumentiste,Non déclaré,non déclaré,Instrumentiste Technicien en instrumentation industrielle Bac D Emploi instrumentiste Baccalauréat Bac
PPPNR2507250036612,48,enseignant(e),Divers,Emploi,Baccalauréat Général,Homme,Bac,Enseignant,"Éducation, Formation & Enseignement",Bac C,Non déclaré,Enseignant(e),Non déclaré,non déclaré,Enseignant(e) Enseignant Bac C Emploi enseignant(e) Baccalauréat Général Bac
PPPNR2507250036613,31,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Baccalauréat Général,Homme,Bac,Logisticien,"Transport, Logistique & Supply Chain",Bac D,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Bac D Stage logisticien Baccalauréat Général Bac
PPPNR2507250036617,20,comptabilité et gestion financière,Finance,Stage,BAC Technique,Femme,Bac,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestion,Non déclaré,Comptabilité et Gestion Financière,Non déclaré,non déclaré,Comptabilité et Gestion Financière Comptable Gestion Stage comptabilité et gestion financière BAC Technique Bac
PPPNR2507250036618,35,aide chauffeur,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Stage,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Aide-Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Aide Chauffeur,Non déclaré,non déclaré,Aide Chauffeur Aide-Chauffeur Aucune Stage aide chauffeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036621,29,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac D Emploi pompiste Baccalauréat Général Bac
PPPNR2507250036622,33,juriste,Droit et Justice,Emploi,Bac +3,Homme,Bac +3,Juriste,Droit et Justice,Droit des Affaires,Non déclaré,Juriste,Non déclaré,non déclaré,Juriste Juriste Droit des Affaires Emploi juriste Bac +3 Bac +3
PPPNR2507160035713,53,hse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Technicien HSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Non déclaré,HSE,Non déclaré,non déclaré,HSE Technicien HSE Aucune Emploi hse Pas de diplôme Post-secondaire – Professionnel
PPPNR2507250036625,59,chauffeur poids lourds,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur Poids Lourds,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,chauffeur poids lourds,Non déclaré,non déclaré,chauffeur poids lourds Chauffeur Poids Lourds Aucune Emploi chauffeur poids lourds Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036626,34,hse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Bac +3,Homme,Bac +3,Technicien HSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Transport et logistique,Non déclaré,HSE,Non déclaré,non déclaré,HSE Technicien HSE Transport et logistique Emploi hse Bac +3 Bac +3
PPPNR2507250036628,24,plombié,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Plombier,"Bâtiment, Travaux Publics & Aménagement du Territoire",Plomberie,Non déclaré,Plombié,Non déclaré,non déclaré,Plombié Plombier Plomberie Emploi plombié Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPPNR2507250036629,26,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036632,22,soudeur,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Soudeur,"Industrie, Production & Maintenance",Soudure Homologué,Non déclaré,Soudeur,Non déclaré,non déclaré,Soudeur Soudeur Soudure Homologué Emploi soudeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036635,50,conducteur d'engins,Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial,Emploi,Baccalauréat Technologique,Homme,Bac,Conducteur d'Engins,"Industrie, Production & Maintenance",Comptabilité,Non déclaré,Conducteur d'engins,Non déclaré,non déclaré,Conducteur d'engins Conducteur d'Engins Comptabilité Emploi conducteur d'engins Baccalauréat Technologique Bac
PPPNR2507250036636,31,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036638,38,chauffeur,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur,Non déclaré,non déclaré,Chauffeur Chauffeur Aucune Emploi chauffeur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036644,38,technicienne,Nettoyage - Blanchisserie - Pressing,Emploi,BTS/DUT,Homme,Post-secondaire – Professionnel,Technicien,"Industrie, Production & Maintenance",Électrotechnique,Non déclaré,Technicienne,Non déclaré,non déclaré,Technicienne Technicien Électrotechnique Emploi technicienne BTS/DUT Post-secondaire – Professionnel
PPPNR2507250036648,35,mécanicien,Machines et équipements / Automobile,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Mecanicien,"Industrie, Production & Maintenance",Mécanique,Non déclaré,Mécanicien,Non déclaré,non déclaré,Mécanicien Mecanicien Mécanique Emploi mécanicien Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036653,42,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Bac +5,Homme,Bac +4/+5 et plus,Commercial,"Commerce, Vente, Marketing & Distribution",Economie,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Economie Emploi agent commercial Bac +5 Bac +4/+5 et plus
PPPNR2507170035726,29,comptabilité et gestion d'entreprise,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Stage,Pas de diplôme,Femme,Bac +4/+5 et plus,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,Comptabilité et gestion d'entreprise,Non déclaré,non déclaré,Comptabilité et gestion d'entreprise Comptable Aucune Stage comptabilité et gestion d'entreprise Pas de diplôme Bac +4/+5 et plus
PPPNR2507250036660,34,logisticienne,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Bac +5,Femme,Bac +4/+5 et plus,Logisticien,"Transport, Logistique & Supply Chain",Logistique et Supply Chain Management,Non déclaré,Logisticienne,Non déclaré,non déclaré,Logisticienne Logisticien Logistique et Supply Chain Management Emploi logisticienne Bac +5 Bac +4/+5 et plus
PPPNR2507250036662,39,chauffeur de poids lourd,Transit - Transport et Logistique - Génie Logistique,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Chauffeur Poids Lourds,"Transport, Logistique & Supply Chain",Aucune,Non déclaré,Chauffeur de poids lourd,Non déclaré,non déclaré,Chauffeur de poids lourd Chauffeur Poids Lourds Aucune Emploi chauffeur de poids lourd Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036665,22,aps,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Prevention et de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,APS,Non déclaré,non déclaré,APS Agent de Prevention et de Securite Aucune Emploi aps Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPNR2507250036666,26,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Bac +2,Homme,Post-secondaire – Professionnel,Électricien,"Énergie, Environnement & Eau",Électricité bâtiment,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Électricité bâtiment Emploi électricien Bac +2 Post-secondaire – Professionnel
PPPNR2507250036674,27,etudiant(e),Divers,Emploi,Bac +3,Femme,Bac +3,Etudiant,Parcours Étudiant et Formation,Comptabilité et Gestion financière,Non déclaré,Etudiant(e),Non déclaré,non déclaré,Etudiant(e) Etudiant Comptabilité et Gestion financière Emploi etudiant(e) Bac +3 Bac +3
PPPNR2507250036681,44,qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Bac +3,Homme,Bac +3,Technicien QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Marketing,Non déclaré,QHSE,Non déclaré,non déclaré,QHSE Technicien QHSE Marketing Emploi qhse Bac +3 Bac +3
PPPNR2507250036685,25,ingénieur controleur maintenance,Art - Culture - Littérature - Mode,Emploi,Bac +3,Homme,Bac +3,Ingenieur Controleur Maintenance,"Industrie, Production & Maintenance",Génie Mécanique,Non déclaré,Ingénieur Controleur Maintenance,Non déclaré,non déclaré,Ingénieur Controleur Maintenance Ingenieur Controleur Maintenance Génie Mécanique Emploi ingénieur controleur maintenance Bac +3 Bac +3
PPPNR2507170035733,40,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Pas de diplôme,Homme,Secondaire 1,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Pas de diplôme Secondaire 1
PPPNR2507170035751,34,agent qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Homme,Bac +3,Technicien QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Non déclaré,Agent QHSE,Non déclaré,non déclaré,Agent QHSE Technicien QHSE Aucune Emploi agent qhse Pas de diplôme Bac +3
PPPNR2507170035803,36,administrateur de systèmes et réseaux,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Administrateur Systèmes & Réseaux,"Informatique, Data, Télécommunications & Digital",Aucune,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Administrateur de systèmes et réseaux,Non,non,Administrateur de systèmes et réseaux Administrateur Systèmes & Réseaux Aucune Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim Emploi administrateur de systèmes et réseaux Pas de diplôme Bac +4/+5 et plus
PPPNR2507250036697,32,administrateur réseau telecom,Réseaux et Télécommunications,Emploi,Master,Homme,Bac +4/+5 et plus,Architecte Réseaux,"Informatique, Data, Télécommunications & Digital",Génie Électrique,Non déclaré,Administrateur réseau telecom,Non déclaré,non déclaré,Administrateur réseau telecom Architecte Réseaux Génie Électrique Emploi administrateur réseau telecom Master Bac +4/+5 et plus
PPPNR2507170035821,22,agent qhse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Emploi,Pas de diplôme,Femme,Bac +3,Technicien QHSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Aucune,Non déclaré,Agent QHSE,Non déclaré,non déclaré,Agent QHSE Technicien QHSE Aucune Emploi agent qhse Pas de diplôme Bac +3
PPPNR2507170035823,20,etudiant(e),Divers,Stage,Pas de diplôme,Homme,Bac +3,Etudiant,Parcours Étudiant et Formation,Aucune,Machines et équipements / Automobile,Etudiant(e),Non,non,Etudiant(e) Etudiant Aucune Machines et équipements / Automobile Stage etudiant(e) Pas de diplôme Bac +3
PPPNR2507180035914,32,banque et assurance,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Pas de diplôme,Homme,Bac +3,Conseiller en Assurance de Personnes,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,Banque et Assurance,Non déclaré,non déclaré,Banque et Assurance Conseiller en Assurance de Personnes Aucune Emploi banque et assurance Pas de diplôme Bac +3
PPPNR2507180035935,36,assistant polyvalent,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac,Assistant Polyvalent,Services à la Personne & Social,Aucune,Non déclaré,assistant polyvalent,Non déclaré,non déclaré,assistant polyvalent Assistant Polyvalent Aucune Emploi assistant polyvalent Pas de diplôme Bac
